Source,Target,Start,start,end
Drawings and Prints,334183,1958,1958,1958
Drawings and Prints,337148,1951,1951,1951
European Sculpture and Decorative Arts,218651,1910,1910,1910
European Sculpture and Decorative Arts,209237,1907,1907,1907
Islamic Art,457287,1939,1939,1939
Drawings and Prints,776863,2011,2011,2011
Drawings and Prints,336356,1960,1960,1960
Drawings and Prints,350680,1960,1960,1960
The American Wing,13146,1898,1898,1898
Drawings and Prints,415809,1951,1951,1951
Drawings and Prints,344771,1949,1949,1949
Drawings and Prints,361119,1920,1920,1920
Drawings and Prints,358351,1941,1941,1941
Drawings and Prints,377597,2007,2007,2007
Photographs,281761,2018,2018,2018
Greek and Roman Art,247476,1906,1906,1906
Drawings and Prints,776619,2011,2011,2011
Drawings and Prints,823862,1959,1959,1959
The American Wing,4459,1947,1947,1947
Drawings and Prints,384919,1922,1922,1922
Drawings and Prints,435348,1920,1920,1920
Greek and Roman Art,729139,2011,2011,2011
Drawings and Prints,732469,1951,1951,1951
Costume Institute,86584,1945,1945,1945
Photographs,260063,1972,1972,1972
Greek and Roman Art,249028,1915,1915,1915
Drawings and Prints,392997,1954,1954,1954
Drawings and Prints,358799,1968,1968,1968
Drawings and Prints,368565,2005,2005,2005
Drawings and Prints,708508,1917,1917,1917
Drawings and Prints,337652,1983,1983,1983
Costume Institute,159094,2009,2009,2009
Costume Institute,120529,1983,1983,1983
Drawings and Prints,410278,1948,1948,1948
Asian Art,71728,1920,1920,1920
Greek and Roman Art,733385,2011,2011,2011
The American Wing,10251,1967,1967,1967
Islamic Art,452229,1971,1971,1971
Photographs,265250,1987,1987,1987
Asian Art,59837,1891,1891,1891
Greek and Roman Art,242437,1874,1874,1874
Costume Institute,168748,2009,2009,2009
European Paintings,437515,1911,1911,1911
Drawings and Prints,888578,1981,1981,1981
Drawings and Prints,646142,1936,1936,1936
Arms and Armor,658937,1929,1929,1929
Drawings and Prints,336686,1980,1980,1980
Islamic Art,825596,2022,2022,2022
Egyptian Art,571228,1926,1926,1926
Costume Institute,157155,2009,2009,2009
Arms and Armor,28023,1943,1943,1943
Drawings and Prints,429666,1926,1926,1926
Medieval Art,478178,2007,2007,2007
Drawings and Prints,681277,1922,1922,1922
Drawings and Prints,640287,1963,1963,1963
Drawings and Prints,415503,1962,1962,1962
Asian Art,66420,1896,1896,1896
Drawings and Prints,779456,1963,1963,1963
Drawings and Prints,762628,1951,1951,1951
Drawings and Prints,391760,1942,1942,1942
Drawings and Prints,370162,2005,2005,2005
Photographs,275467,1994,1994,1994
Drawings and Prints,368507,1949,1949,1949
Robert Lehman Collection,461644,1975,1975,1975
Photographs,302705,2013,2013,2013
Egyptian Art,549276,1926,1926,1926
Costume Institute,131415,2006,2006,2006
Drawings and Prints,367055,1922,1922,1922
Drawings and Prints,408504,1941,1941,1941
Asian Art,44981,1939,1939,1939
Drawings and Prints,336338,1961,1961,1961
The American Wing,12877,1923,1923,1923
European Sculpture and Decorative Arts,208549,1996,1996,1996
Medieval Art,465342,1917,1917,1917
European Sculpture and Decorative Arts,197461,1933,1933,1933
Photographs,264484,1985,1985,1985
Drawings and Prints,391644,1962,1962,1962
Drawings and Prints,774306,1963,1963,1963
Drawings and Prints,717472,1946,1946,1946
Drawings and Prints,719938,1981,1981,1981
Islamic Art,444743,1891,1891,1891
Greek and Roman Art,713604,2011,2011,2011
Drawings and Prints,708923,1917,1917,1917
European Sculpture and Decorative Arts,214323,1908,1908,1908
Asian Art,43251,1950,1950,1950
Drawings and Prints,725427,1963,1963,1963
Drawings and Prints,739780,2016,2016,2016
Drawings and Prints,356047,1937,1937,1937
Egyptian Art,569886,1910,1910,1910
Drawings and Prints,662583,1921,1921,1921
Photographs,267956,1933,1933,1933
Drawings and Prints,401621,1963,1963,1963
"Arts of Africa, Oceania, and the Americas",720574,2017,2017,2017
Drawings and Prints,659546,1918,1918,1918
Drawings and Prints,349057,1981,1981,1981
Drawings and Prints,657235,1963,1963,1963
Drawings and Prints,716675,1959,1959,1959
European Sculpture and Decorative Arts,208466,1995,1995,1995
Drawings and Prints,372279,1955,1955,1955
Ancient Near Eastern Art,325381,1962,1962,1962
Drawings and Prints,353480,1960,1960,1960
Drawings and Prints,364778,1962,1962,1962
