Source,Target,Start,start,end
Asian Art,51619,1945,1945,1945
Drawings and Prints,632396,1927,1927,1927
Modern and Contemporary Art,491997,2000,2000,2000
Egyptian Art,623350,1925,1925,1925
Musical Instruments,505181,1889,1889,1889
European Sculpture and Decorative Arts,198155,1938,1938,1938
Photographs,266154,1989,1989,1989
Greek and Roman Art,252491,1926,1926,1926
Greek and Roman Art,243539,1874,1874,1874
Drawings and Prints,892882,1963,1963,1963
Modern and Contemporary Art,482475,1982,1982,1982
"Arts of Africa, Oceania, and the Americas",766405,1978,1978,1978
Drawings and Prints,396718,1931,1931,1931
Drawings and Prints,386092,1951,1951,1951
Drawings and Prints,396153,1943,1943,1943
Egyptian Art,568115,1935,1935,1935
Drawings and Prints,399059,1943,1943,1943
Islamic Art,455237,2005,2005,2005
Ancient Near Eastern Art,327262,1986,1986,1986
Greek and Roman Art,255570,1976,1976,1976
Modern and Contemporary Art,485864,1991,1991,1991
Drawings and Prints,781811,1949,1949,1949
Drawings and Prints,425925,1963,1963,1963
Asian Art,40477,2015,2015,2015
Drawings and Prints,719600,1963,1963,1963
European Sculpture and Decorative Arts,212688,1903,1903,1903
Drawings and Prints,334674,1996,1996,1996
Drawings and Prints,426140,1946,1946,1946
European Sculpture and Decorative Arts,226098,1936,1936,1936
Photographs,276986,1994,1994,1994
Costume Institute,119398,1958,1958,1958
Asian Art,45507,1929,1929,1929
Asian Art,86119,1978,1978,1978
Ancient Near Eastern Art,325389,1962,1962,1962
Drawings and Prints,420815,1922,1922,1922
European Sculpture and Decorative Arts,834052,1964,1964,1964
Drawings and Prints,426401,1977,1977,1977
Photographs,271789,1978,1978,1978
Drawings and Prints,890929,1963,1963,1963
Modern and Contemporary Art,480338,1908,1908,1908
The American Wing,2744,1946,1946,1946
Greek and Roman Art,253209,1930,1930,1930
Asian Art,57034,1939,1939,1939
Drawings and Prints,432052,1933,1933,1933
Drawings and Prints,392483,1917,1917,1917
Drawings and Prints,627310,1953,1953,1953
Photographs,285128,2003,2003,2003
Drawings and Prints,359304,1976,1976,1976
Photographs,273965,1994,1994,1994
Drawings and Prints,751464,1962,1962,1962
"Arts of Africa, Oceania, and the Americas",310605,1978,1978,1978
Drawings and Prints,405700,1941,1941,1941
Drawings and Prints,787794,1951,1951,1951
Drawings and Prints,669290,1951,1951,1951
Drawings and Prints,414858,1963,1963,1963
Musical Instruments,500840,1889,1889,1889
Arms and Armor,24581,1936,1936,1936
Drawings and Prints,335864,1949,1949,1949
Drawings and Prints,715330,1963,1963,1963
Drawings and Prints,629126,1963,1963,1963
Photographs,263674,1983,1983,1983
Modern and Contemporary Art,481032,1972,1972,1972
Costume Institute,158881,2009,2009,2009
Ancient Near Eastern Art,321655,1886,1886,1886
Costume Institute,80946,1998,1998,1998
Drawings and Prints,343015,1967,1967,1967
European Sculpture and Decorative Arts,202825,1963,1963,1963
Arms and Armor,696684,1928,1928,1928
Photographs,261418,1975,1975,1975
Drawings and Prints,378134,1923,1923,1923
Drawings and Prints,348875,2000,2000,2000
Greek and Roman Art,733572,2011,2011,2011
Greek and Roman Art,776361,2011,2011,2011
Drawings and Prints,394543,1922,1922,1922
Costume Institute,83333,2001,2001,2001
Drawings and Prints,433885,1960,1960,1960
Drawings and Prints,383636,1958,1958,1958
European Sculpture and Decorative Arts,224332,1936,1936,1936
Drawings and Prints,652740,1963,1963,1963
Costume Institute,137606,2008,2008,2008
Modern and Contemporary Art,495556,1965,1965,1965
Modern and Contemporary Art,484127,1985,1985,1985
Arms and Armor,29185,1942,1942,1942
Greek and Roman Art,245156,1881,1881,1881
Drawings and Prints,710775,1953,1953,1953
European Sculpture and Decorative Arts,219909,1917,1917,1917
Costume Institute,173797,2009,2009,2009
Drawings and Prints,891318,1963,1963,1963
Modern and Contemporary Art,484530,1986,1986,1986
Asian Art,39696,2015,2015,2015
"Arts of Africa, Oceania, and the Americas",319852,2007,2007,2007
Drawings and Prints,376458,1949,1949,1949
Drawings and Prints,777800,1963,1963,1963
Egyptian Art,555947,1911,1911,1911
Greek and Roman Art,245514,1889,1889,1889
Costume Institute,169954,2009,2009,2009
Drawings and Prints,371651,1969,1969,1969
Asian Art,57368,1915,1915,1915
Drawings and Prints,694419,1963,1963,1963
Photographs,299319,2011,2011,2011
Costume Institute,174810,2009,2009,2009
Drawings and Prints,372481,1917,1917,1917
Egyptian Art,548741,1936,1936,1936
Greek and Roman Art,240054,1874,1874,1874
Drawings and Prints,623587,1949,1949,1949
Islamic Art,741458,1948,1948,1948
Drawings and Prints,395871,1958,1958,1958
Drawings and Prints,683165,1963,1963,1963
Asian Art,45579,1936,1936,1936
Costume Institute,124476,1977,1977,1977
Drawings and Prints,382476,1961,1961,1961
Asian Art,59945,1912,1912,1912
Drawings and Prints,739087,1959,1959,1959
Drawings and Prints,384585,1917,1917,1917
Drawings and Prints,713362,1951,1951,1951
Drawings and Prints,384277,1947,1947,1947
Musical Instruments,504770,1889,1889,1889
Medieval Art,474625,1912,1912,1912
European Sculpture and Decorative Arts,215841,1909,1909,1909
Drawings and Prints,629652,1951,1951,1951
Modern and Contemporary Art,487843,1937,1937,1937
Drawings and Prints,705596,1919,1919,1919
Arms and Armor,22295,1914,1914,1914
Drawings and Prints,701499,1951,1951,1951
Drawings and Prints,350080,1931,1931,1931
Drawings and Prints,352870,2001,2001,2001
Drawings and Prints,431058,1965,1965,1965
Drawings and Prints,338634,1962,1962,1962
Greek and Roman Art,240651,1874,1874,1874
Medieval Art,474862,1914,1914,1914
Asian Art,67890,1909,1909,1909
Arms and Armor,27219,1914,1914,1914
European Sculpture and Decorative Arts,228713,1957,1957,1957
Drawings and Prints,416778,1953,1953,1953
Egyptian Art,550411,1923,1923,1923
Islamic Art,452073,1970,1970,1970
Photographs,264666,1986,1986,1986
Costume Institute,141753,2008,2008,2008
Drawings and Prints,766877,1949,1949,1949
Modern and Contemporary Art,727599,2017,2017,2017
Drawings and Prints,381642,1954,1954,1954
Drawings and Prints,825866,1963,1963,1963
Egyptian Art,555103,1932,1932,1932
Greek and Roman Art,678524,2011,2011,2011
Modern and Contemporary Art,480615,1915,1915,1915
Greek and Roman Art,248992,1915,1915,1915
Drawings and Prints,359484,1986,1986,1986
European Sculpture and Decorative Arts,195858,1927,1927,1927
Drawings and Prints,416883,1953,1953,1953
Photographs,269865,1956,1956,1956
Costume Institute,98123,1926,1926,1926
Robert Lehman Collection,460358,1975,1975,1975
Drawings and Prints,707953,1917,1917,1917
Drawings and Prints,631827,1963,1963,1963
European Sculpture and Decorative Arts,232375,2006,2006,2006
The American Wing,4771,1929,1929,1929
Costume Institute,157588,2009,2009,2009
Drawings and Prints,655381,1963,1963,1963
Greek and Roman Art,241441,1874,1874,1874
The American Wing,14572,1907,1907,1907
The American Wing,718115,2020,2020,2020
Drawings and Prints,665037,1926,1926,1926
"Arts of Africa, Oceania, and the Americas",311552,1978,1978,1978
Drawings and Prints,373068,1920,1920,1920
Asian Art,42979,1911,1911,1911
Drawings and Prints,395306,1959,1959,1959
Egyptian Art,329922,2021,2021,2021
Drawings and Prints,746101,1981,1981,1981
Drawings and Prints,639308,1953,1953,1953
Photographs,285404,1976,1976,1976
Drawings and Prints,759630,1931,1931,1931
Costume Institute,175165,2009,2009,2009
Asian Art,49616,1986,1986,1986
Costume Institute,85815,1939,1939,1939
Modern and Contemporary Art,480672,1919,1919,1919
Drawings and Prints,411958,1963,1963,1963
Drawings and Prints,379064,1923,1923,1923
Greek and Roman Art,669842,2011,2011,2011
Asian Art,67534,1896,1896,1896
Asian Art,41930,1908,1908,1908
Drawings and Prints,434435,1963,1963,1963
Egyptian Art,567726,1921,1921,1921
"Arts of Africa, Oceania, and the Americas",315742,1989,1989,1989
Asian Art,48138,1927,1927,1927
Egyptian Art,563964,1917,1917,1917
Drawings and Prints,407091,1963,1963,1963
Drawings and Prints,650278,1959,1959,1959
European Paintings,437243,1982,1982,1982
Greek and Roman Art,256831,nan,nan,nan
Drawings and Prints,433113,1949,1949,1949
Drawings and Prints,712550,1963,1963,1963
Asian Art,854220,2021,2021,2021
Greek and Roman Art,240561,1874,1874,1874
The American Wing,31,1916,1916,1916
The American Wing,104835,1989,1989,1989
Drawings and Prints,717846,1946,1946,1946
Greek and Roman Art,667491,2011,2011,2011
Drawings and Prints,720233,1953,1953,1953
Photographs,274006,1994,1994,1994
Drawings and Prints,408662,1963,1963,1963
European Sculpture and Decorative Arts,189609,1907,1907,1907
Drawings and Prints,352599,1953,1953,1953
Egyptian Art,557676,1930,1930,1930
Drawings and Prints,390695,1962,1962,1962
Drawings and Prints,647815,2014,2014,2014
European Sculpture and Decorative Arts,715408,2016,2016,2016
Drawings and Prints,707727,1972,1972,1972
Photographs,294438,2010,2010,2010
Asian Art,54574,1914,1914,1914
Drawings and Prints,764875,1923,1923,1923
Greek and Roman Art,753186,2011,2011,2011
Egyptian Art,546497,1934,1934,1934
Egyptian Art,564570,1914,1914,1914
The American Wing,6410,1946,1946,1946
Drawings and Prints,418129,1942,1942,1942
Costume Institute,96142,1980,1980,1980
Drawings and Prints,430553,1944,1944,1944
Costume Institute,168386,2009,2009,2009
Greek and Roman Art,693458,2011,2011,2011
European Sculpture and Decorative Arts,227748,1954,1954,1954
European Sculpture and Decorative Arts,197252,1932,1932,1932
Asian Art,40861,1924,1924,1924
The American Wing,4642,1918,1918,1918
Asian Art,52904,1924,1924,1924
Photographs,764796,2017,2017,2017
Asian Art,74523,2008,2008,2008
Drawings and Prints,409338,1963,1963,1963
Egyptian Art,549871,1921,1921,1921
Costume Institute,80023,1995,1995,1995
Drawings and Prints,660471,1963,1963,1963
Asian Art,70555,1974,1974,1974
Arms and Armor,32213,1932,1932,1932
Drawings and Prints,813334,1959,1959,1959
Drawings and Prints,765519,1963,1963,1963
Photographs,276635,1994,1994,1994
Egyptian Art,549398,1923,1923,1923
Greek and Roman Art,243667,1874,1874,1874
Egyptian Art,556139,1930,1930,1930
European Sculpture and Decorative Arts,216332,1909,1909,1909
Drawings and Prints,722582,1917,1917,1917
Drawings and Prints,363366,1917,1917,1917
Drawings and Prints,376201,2006,2006,2006
European Sculpture and Decorative Arts,192169,1913,1913,1913
Costume Institute,85401,1930,1930,1930
Medieval Art,466574,1924,1924,1924
Drawings and Prints,715234,1963,1963,1963
Drawings and Prints,704468,2015,2015,2015
Asian Art,49783,1995,1995,1995
Islamic Art,449062,1936,1936,1936
Asian Art,74895,1985,1985,1985
Asian Art,41793,1930,1930,1930
The American Wing,13803,1911,1911,1911
Drawings and Prints,368019,1951,1951,1951
Photographs,633313,2011,2011,2011
Drawings and Prints,435306,1942,1942,1942
Medieval Art,474534,1912,1912,1912
Drawings and Prints,777230,2011,2011,2011
European Sculpture and Decorative Arts,191441,1910,1910,1910
Asian Art,50584,2001,2001,2001
The American Wing,1208,1948,1948,1948
"Arts of Africa, Oceania, and the Americas",319219,2011,2011,2011
Greek and Roman Art,692073,2011,2011,2011
Costume Institute,107271,1982,1982,1982
Photographs,701859,2005,2005,2005
Robert Lehman Collection,461203,1975,1975,1975
Photographs,265016,1986,1986,1986
Drawings and Prints,892806,1928,1928,1928
Drawings and Prints,786104,1950,1950,1950
Islamic Art,448437,1930,1930,1930
European Sculpture and Decorative Arts,202624,1962,1962,1962
Greek and Roman Art,703971,2011,2011,2011
European Sculpture and Decorative Arts,186733,1885,1885,1885
European Sculpture and Decorative Arts,202159,1958,1958,1958
Greek and Roman Art,671135,2011,2011,2011
Asian Art,57684,1931,1931,1931
Drawings and Prints,634460,1963,1963,1963
Drawings and Prints,717403,1963,1963,1963
Costume Institute,90379,1909,1909,1909
Drawings and Prints,827653,1950,1950,1950
European Sculpture and Decorative Arts,200921,1950,1950,1950
The American Wing,9865,1947,1947,1947
Egyptian Art,568978,1915,1915,1915
Arms and Armor,24947,1991,1991,1991
Greek and Roman Art,750437,2011,2011,2011
Modern and Contemporary Art,484151,1985,1985,1985
Costume Institute,173928,2009,2009,2009
Costume Institute,81518,1944,1944,1944
Photographs,289998,1994,1994,1994
Drawings and Prints,353414,1955,1955,1955
Drawings and Prints,427817,1917,1917,1917
Drawings and Prints,722595,1917,1917,1917
European Sculpture and Decorative Arts,194461,1917,1917,1917
Photographs,288772,1967,1967,1967
Photographs,773339,2017,2017,2017
Asian Art,61573,1930,1930,1930
Drawings and Prints,626579,1926,1926,1926
Drawings and Prints,782096,1970,1970,1970
The American Wing,15513,1982,1982,1982
"Arts of Africa, Oceania, and the Americas",314847,1985,1985,1985
Egyptian Art,569915,1921,1921,1921
Drawings and Prints,346961,1991,1991,1991
Greek and Roman Art,252953,1928,1928,1928
Photographs,263541,1983,1983,1983
The American Wing,16214,1933,1933,1933
Asian Art,61021,1910,1910,1910
Greek and Roman Art,249115,1916,1916,1916
"Arts of Africa, Oceania, and the Americas",85718,1992,1992,1992
Drawings and Prints,726464,2016,2016,2016
Drawings and Prints,349164,1929,1929,1929
European Paintings,436449,1993,1993,1993
Costume Institute,174664,2009,2009,2009
The American Wing,2436,1910,1910,1910
Photographs,271410,1968,1968,1968
Costume Institute,767970,2018,2018,2018
Drawings and Prints,400283,1981,1981,1981
Drawings and Prints,641033,1957,1957,1957
Drawings and Prints,835408,1951,1951,1951
Drawings and Prints,396911,1922,1922,1922
Drawings and Prints,387179,1953,1953,1953
Costume Institute,117140,1982,1982,1982
Modern and Contemporary Art,496670,1979,1979,1979
Islamic Art,443733,1890,1890,1890
Photographs,273997,1994,1994,1994
European Sculpture and Decorative Arts,214363,1908,1908,1908
Drawings and Prints,708941,1963,1963,1963
Drawings and Prints,684481,1963,1963,1963
European Sculpture and Decorative Arts,206476,1976,1976,1976
Drawings and Prints,434676,1953,1953,1953
Greek and Roman Art,254641,1949,1949,1949
Drawings and Prints,623625,1941,1941,1941
Drawings and Prints,645184,1953,1953,1953
Arms and Armor,33530,1916,1916,1916
Greek and Roman Art,632266,2013,2013,2013
European Sculpture and Decorative Arts,221892,1926,1926,1926
Costume Institute,168757,2009,2009,2009
Drawings and Prints,660609,1937,1937,1937
"Arts of Africa, Oceania, and the Americas",311510,1978,1978,1978
Drawings and Prints,424733,1963,1963,1963
Drawings and Prints,714447,1993,1993,1993
Drawings and Prints,384538,1933,1933,1933
European Sculpture and Decorative Arts,223688,1936,1936,1936
Medieval Art,463917,1916,1916,1916
Drawings and Prints,353108,1926,1926,1926
Drawings and Prints,688832,1924,1924,1924
Photographs,706109,2005,2005,2005
Greek and Roman Art,257041,1891,1891,1891
Drawings and Prints,821207,1963,1963,1963
Greek and Roman Art,240194,1874,1874,1874
Drawings and Prints,649479,1951,1951,1951
Drawings and Prints,343520,1960,1960,1960
Costume Institute,81366,1999,1999,1999
Drawings and Prints,434437,1949,1949,1949
Drawings and Prints,407952,1963,1963,1963
Greek and Roman Art,671096,2011,2011,2011
Drawings and Prints,814520,1963,1963,1963
Costume Institute,828415,2019,2019,2019
Costume Institute,119197,1942,1942,1942
Islamic Art,452500,1973,1973,1973
Greek and Roman Art,245912,1895,1895,1895
Asian Art,47718,1879,1879,1879
Costume Institute,144795,2017,2017,2017
The American Wing,14821,1907,1907,1907
The Libraries,889316,nan,nan,nan
Drawings and Prints,626132,1951,1951,1951
Greek and Roman Art,696144,2011,2011,2011
Drawings and Prints,401995,1963,1963,1963
European Sculpture and Decorative Arts,221292,1921,1921,1921
Drawings and Prints,395269,1957,1957,1957
The American Wing,21631,1980,1980,1980
Greek and Roman Art,704235,2011,2011,2011
Greek and Roman Art,729193,2011,2011,2011
Drawings and Prints,363677,1960,1960,1960
Drawings and Prints,365823,1951,1951,1951
Islamic Art,741420,1948,1948,1948
Drawings and Prints,403451,1963,1963,1963
Greek and Roman Art,246550,1896,1896,1896
Asian Art,63778,1941,1941,1941
Drawings and Prints,432179,1930,1930,1930
Greek and Roman Art,683601,2011,2011,2011
The American Wing,19920,2018,2018,2018
"Arts of Africa, Oceania, and the Americas",309286,1964,1964,1964
Asian Art,39418,1991,1991,1991
European Paintings,436093,1954,1954,1954
Greek and Roman Art,737491,2011,2011,2011
Drawings and Prints,341390,1983,1983,1983
Greek and Roman Art,683375,2011,2011,2011
European Sculpture and Decorative Arts,206305,1974,1974,1974
Arms and Armor,29371,1942,1942,1942
Islamic Art,450324,1940,1940,1940
Asian Art,40903,1924,1924,1924
Drawings and Prints,408478,1963,1963,1963
European Sculpture and Decorative Arts,189461,1907,1907,1907
Asian Art,54163,1929,1929,1929
Costume Institute,81008,1993,1993,1993
Drawings and Prints,433830,1963,1963,1963
Drawings and Prints,647593,1963,1963,1963
Drawings and Prints,717716,1963,1963,1963
Drawings and Prints,380258,1923,1923,1923
Islamic Art,769028,1948,1948,1948
Asian Art,52297,1975,1975,1975
Modern and Contemporary Art,485681,1991,1991,1991
Asian Art,63342,2001,2001,2001
The American Wing,12387,1950,1950,1950
Asian Art,67471,1896,1896,1896
Egyptian Art,568966,1915,1915,1915
Photographs,280848,2019,2019,2019
Medieval Art,465982,1976,1976,1976
Drawings and Prints,650184,1952,1952,1952
Drawings and Prints,643559,1963,1963,1963
Drawings and Prints,734715,1972,1972,1972
Musical Instruments,501873,1889,1889,1889
Costume Institute,156273,2009,2009,2009
Drawings and Prints,732451,1957,1957,1957
Modern and Contemporary Art,489991,1999,1999,1999
Photographs,269173,1947,1947,1947
The American Wing,6288,1910,1910,1910
European Sculpture and Decorative Arts,212201,1901,1901,1901
Arms and Armor,29928,1936,1936,1936
Egyptian Art,560454,1922,1922,1922
Egyptian Art,587553,1925,1925,1925
Asian Art,847083,2020,2020,2020
Photographs,711957,2016,2016,2016
Asian Art,52344,1923,1923,1923
Drawings and Prints,644307,1963,1963,1963
Drawings and Prints,340761,1965,1965,1965
Egyptian Art,559821,1927,1927,1927
Drawings and Prints,337436,1921,1921,1921
Greek and Roman Art,689371,2011,2011,2011
Drawings and Prints,337173,1929,1929,1929
Drawings and Prints,412730,2012,2012,2012
Drawings and Prints,419598,1917,1917,1917
Drawings and Prints,430534,1972,1972,1972
Drawings and Prints,644990,1963,1963,1963
Drawings and Prints,350950,1964,1964,1964
Drawings and Prints,390125,1961,1961,1961
Drawings and Prints,422230,1963,1963,1963
Costume Institute,108589,1979,1979,1979
European Sculpture and Decorative Arts,188934,1905,1905,1905
The American Wing,16348,1953,1953,1953
The American Wing,751995,2017,2017,2017
"Arts of Africa, Oceania, and the Americas",833953,2020,2020,2020
Drawings and Prints,424401,1930,1930,1930
Drawings and Prints,355391,1965,1965,1965
European Sculpture and Decorative Arts,228582,1957,1957,1957
"Arts of Africa, Oceania, and the Americas",636834,2013,2013,2013
European Sculpture and Decorative Arts,201439,1952,1952,1952
Costume Institute,124176,1974,1974,1974
Drawings and Prints,396215,1917,1917,1917
Drawings and Prints,395072,2010,2010,2010
Drawings and Prints,406436,1963,1963,1963
Arms and Armor,28411,1943,1943,1943
Musical Instruments,505306,1953,1953,1953
Costume Institute,689874,2015,2015,2015
Photographs,273338,1994,1994,1994
Asian Art,59592,2002,2002,2002
Drawings and Prints,773062,1963,1963,1963
Drawings and Prints,895947,1959,1959,1959
Drawings and Prints,359246,1930,1930,1930
Modern and Contemporary Art,496464,1979,1979,1979
Egyptian Art,547381,1926,1926,1926
The American Wing,964,1925,1925,1925
European Sculpture and Decorative Arts,204067,1964,1964,1964
Arms and Armor,33158,1920,1920,1920
Costume Institute,118993,1978,1978,1978
Drawings and Prints,400108,1963,1963,1963
Drawings and Prints,660401,1963,1963,1963
European Paintings,436832,1963,1963,1963
Drawings and Prints,761176,1963,1963,1963
Costume Institute,115315,1951,1951,1951
Drawings and Prints,351904,1930,1930,1930
The American Wing,3747,1910,1910,1910
Drawings and Prints,688805,1924,1924,1924
Drawings and Prints,395971,1995,1995,1995
Drawings and Prints,767927,1963,1963,1963
European Sculpture and Decorative Arts,194877,1922,1922,1922
Drawings and Prints,760925,1963,1963,1963
Drawings and Prints,722912,1963,1963,1963
Costume Institute,80785,1993,1993,1993
Costume Institute,121578,1953,1953,1953
European Sculpture and Decorative Arts,209544,1933,1933,1933
Drawings and Prints,719657,1963,1963,1963
Drawings and Prints,416185,1952,1952,1952
Drawings and Prints,382468,1926,1926,1926
Drawings and Prints,680451,1919,1919,1919
Drawings and Prints,352301,1970,1970,1970
Photographs,263961,1984,1984,1984
"Arts of Africa, Oceania, and the Americas",310328,1977,1977,1977
Drawings and Prints,401735,1963,1963,1963
Costume Institute,106696,1937,1937,1937
Drawings and Prints,738591,1946,1946,1946
Egyptian Art,563835,1917,1917,1917
Drawings and Prints,635507,1963,1963,1963
European Sculpture and Decorative Arts,217538,1909,1909,1909
Drawings and Prints,377545,1985,1985,1985
Drawings and Prints,631148,2014,2014,2014
Drawings and Prints,890870,1963,1963,1963
Drawings and Prints,373283,1940,1940,1940
Drawings and Prints,395044,1926,1926,1926
Ancient Near Eastern Art,324949,1959,1959,1959
Asian Art,40409,1945,1945,1945
Drawings and Prints,655914,1958,1958,1958
Arms and Armor,695334,1928,1928,1928
Drawings and Prints,372092,1917,1917,1917
Costume Institute,175291,2009,2009,2009
Greek and Roman Art,253625,1941,1941,1941
European Paintings,436981,1930,1930,1930
Ancient Near Eastern Art,326857,1983,1983,1983
Photographs,263823,1983,1983,1983
Asian Art,44137,1902,1902,1902
Drawings and Prints,383665,1931,1931,1931
"Arts of Africa, Oceania, and the Americas",308139,1933,1933,1933
Greek and Roman Art,733590,2011,2011,2011
Modern and Contemporary Art,491513,1999,1999,1999
The American Wing,2136,1942,1942,1942
Egyptian Art,549380,1918,1918,1918
Photographs,276437,1994,1994,1994
Egyptian Art,570789,1910,1910,1910
Drawings and Prints,655189,1963,1963,1963
Egyptian Art,569922,1921,1921,1921
Robert Lehman Collection,461697,1975,1975,1975
Drawings and Prints,634309,1963,1963,1963
Modern and Contemporary Art,486364,1994,1994,1994
Photographs,775172,2018,2018,2018
Drawings and Prints,659609,1918,1918,1918
"Arts of Africa, Oceania, and the Americas",309582,1969,1969,1969
European Sculpture and Decorative Arts,188354,1898,1898,1898
Egyptian Art,568825,1911,1911,1911
Costume Institute,80564,1994,1994,1994
Drawings and Prints,755312,1922,1922,1922
Islamic Art,443994,1890,1890,1890
Drawings and Prints,362474,1986,1986,1986
Drawings and Prints,386203,1967,1967,1967
Greek and Roman Art,249675,1917,1917,1917
Photographs,275834,1994,1994,1994
Drawings and Prints,395063,1958,1958,1958
"Arts of Africa, Oceania, and the Americas",308691,1964,1964,1964
Ancient Near Eastern Art,323645,1938,1938,1938
Medieval Art,464876,1917,1917,1917
European Sculpture and Decorative Arts,214628,1908,1908,1908
Costume Institute,137760,2007,2007,2007
Greek and Roman Art,242704,1874,1874,1874
The American Wing,1622,1952,1952,1952
Drawings and Prints,858250,1978,1978,1978
Drawings and Prints,788345,1960,1960,1960
Drawings and Prints,779955,1963,1963,1963
Drawings and Prints,367223,1925,1925,1925
Asian Art,45245,1936,1936,1936
Drawings and Prints,336915,1949,1949,1949
Islamic Art,457256,1939,1939,1939
Costume Institute,113183,1953,1953,1953
Drawings and Prints,645262,1963,1963,1963
Drawings and Prints,821249,1966,1966,1966
Drawings and Prints,712554,1963,1963,1963
The American Wing,12422,1950,1950,1950
Asian Art,54104,1929,1929,1929
Arms and Armor,30639,1936,1936,1936
Photographs,264201,1984,1984,1984
European Sculpture and Decorative Arts,196685,1930,1930,1930
European Sculpture and Decorative Arts,226194,1937,1937,1937
Drawings and Prints,682741,2015,2015,2015
Drawings and Prints,726357,2014,2014,2014
Drawings and Prints,335117,1880,1880,1880
Costume Institute,121571,1966,1966,1966
Drawings and Prints,688249,2015,2015,2015
Egyptian Art,556743,1928,1928,1928
Drawings and Prints,727310,1963,1963,1963
Drawings and Prints,397298,2012,2012,2012
Islamic Art,443602,1890,1890,1890
Asian Art,59357,1910,1910,1910
Costume Institute,175046,2009,2009,2009
Arms and Armor,26696,1914,1914,1914
Islamic Art,447192,1920,1920,1920
Arms and Armor,25440,1904,1904,1904
Drawings and Prints,736313,1972,1972,1972
European Sculpture and Decorative Arts,195747,1927,1927,1927
Costume Institute,158302,2009,2009,2009
Drawings and Prints,634045,1963,1963,1963
Greek and Roman Art,698923,2011,2011,2011
Drawings and Prints,641721,1958,1958,1958
Drawings and Prints,888744,1963,1963,1963
Egyptian Art,568714,1911,1911,1911
"Arts of Africa, Oceania, and the Americas",311209,1978,1978,1978
Asian Art,845161,2020,2020,2020
Drawings and Prints,351439,1940,1940,1940
Drawings and Prints,421669,1972,1972,1972
Drawings and Prints,356400,1964,1964,1964
Greek and Roman Art,249726,1917,1917,1917
"Arts of Africa, Oceania, and the Americas",314140,1979,1979,1979
Greek and Roman Art,240721,1874,1874,1874
Drawings and Prints,354821,1958,1958,1958
Robert Lehman Collection,460773,1975,1975,1975
Drawings and Prints,357522,1954,1954,1954
Medieval Art,465184,1917,1917,1917
European Sculpture and Decorative Arts,192622,1913,1913,1913
Photographs,272386,1994,1994,1994
Ancient Near Eastern Art,324113,1951,1951,1951
"Arts of Africa, Oceania, and the Americas",318190,1999,1999,1999
Egyptian Art,563310,1917,1917,1917
European Sculpture and Decorative Arts,204084,1964,1964,1964
European Sculpture and Decorative Arts,191824,1911,1911,1911
Egyptian Art,563021,1917,1917,1917
Photographs,271276,1967,1967,1967
Drawings and Prints,423417,1955,1955,1955
European Sculpture and Decorative Arts,190552,1907,1907,1907
Asian Art,70825,nan,nan,nan
Drawings and Prints,657642,1963,1963,1963
Islamic Art,742028,1948,1948,1948
Egyptian Art,552793,1976,1976,1976
Ancient Near Eastern Art,324104,1950,1950,1950
Drawings and Prints,349303,1948,1948,1948
Asian Art,50760,1992,1992,1992
Costume Institute,156574,2009,2009,2009
Asian Art,66285,1896,1896,1896
Asian Art,62352,1975,1975,1975
European Sculpture and Decorative Arts,230708,nan,nan,nan
The Libraries,716648,nan,nan,nan
European Sculpture and Decorative Arts,231695,1974,1974,1974
Drawings and Prints,369353,1933,1933,1933
The American Wing,9813,1910,1910,1910
European Sculpture and Decorative Arts,216111,1909,1909,1909
European Sculpture and Decorative Arts,188295,1897,1897,1897
Asian Art,55440,1959,1959,1959
Costume Institute,108551,1979,1979,1979
Greek and Roman Art,251418,1923,1923,1923
The American Wing,17273,1967,1967,1967
Drawings and Prints,815559,1963,1963,1963
Photographs,287927,1999,1999,1999
Drawings and Prints,648967,1926,1926,1926
Asian Art,47028,1893,1893,1893
Drawings and Prints,666010,1935,1935,1935
Drawings and Prints,653524,1963,1963,1963
Islamic Art,449402,1938,1938,1938
Costume Institute,158236,2009,2009,2009
Asian Art,56451,2001,2001,2001
Drawings and Prints,365751,1966,1966,1966
Drawings and Prints,349596,1963,1963,1963
Drawings and Prints,812780,1923,1923,1923
Drawings and Prints,379527,1923,1923,1923
Drawings and Prints,373317,1946,1946,1946
Drawings and Prints,410772,2012,2012,2012
Drawings and Prints,776556,2011,2011,2011
Arms and Armor,25214,1943,1943,1943
Drawings and Prints,677801,1914,1914,1914
Musical Instruments,502698,1889,1889,1889
Drawings and Prints,362666,1990,1990,1990
The American Wing,853683,2021,2021,2021
Asian Art,71215,1920,1920,1920
Islamic Art,445749,1909,1909,1909
European Sculpture and Decorative Arts,206330,1975,1975,1975
Costume Institute,634517,2014,2014,2014
Costume Institute,116604,1945,1945,1945
Drawings and Prints,432727,1972,1972,1972
Costume Institute,91754,1977,1977,1977
European Sculpture and Decorative Arts,199866,1948,1948,1948
Egyptian Art,570262,1910,1910,1910
Drawings and Prints,370075,1985,1985,1985
Drawings and Prints,653937,1963,1963,1963
Egyptian Art,558775,1910,1910,1910
Drawings and Prints,348808,1960,1960,1960
European Sculpture and Decorative Arts,218162,1909,1909,1909
Drawings and Prints,364976,1942,1942,1942
European Sculpture and Decorative Arts,212347,1879,1879,1879
Drawings and Prints,747651,1963,1963,1963
