Source,Target
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Gift of Cyrus W. Field,The American Wing
Bequest of Lester Wolfe,Ancient Near Eastern Art
Gift of Mr. and Mrs. Janos Scholz,Drawings and Prints
Bequest of Flora E. Whiting,The American Wing
"Robert O. Dougan Collection, Gift of Warner Communications Inc.",Photographs
"Purchase, Roland L. Redmond Gift, Louis V. Bell and Rogers Funds",Drawings and Prints
Gift of Lester Wunderman,"Arts of Africa, Oceania, and the Americas"
Jacques and Natasha Gelman Collection,Modern and Contemporary Art
Gift of Armand J. Fred Ferretti and Eileen Yin-Fei Lo,Drawings and Prints
"Purchase, Friends of Asian Art Gifts, in honor of James C. Y. Watt",Asian Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Bequest of William Christian Paul,Asian Art
Gift of Joseph H. Durkee,Greek and Roman Art
"Purchase, Sidney E. Cohn and Lillian L. Poses Gifts",Modern and Contemporary Art
Bequest of Mrs. Maria P. James,European Sculpture and Decorative Arts
Bequest of Adrienne Minassian,Islamic Art
Gift of Heber R. Bishop,Asian Art
Gift of Lincoln Kirstein,Asian Art
Gift of Matthew Dontzin,Photographs
Rogers Fund,Islamic Art
Gift of Paulette Winston Zerner,Costume Institute
Gift of Helen J. Baker,Drawings and Prints
Rogers Fund,Ancient Near Eastern Art
Gift of Paul H. Downing,Drawings and Prints
Alfred Z. Solomon-Janet A. Sloane Endowment Fund,Costume Institute
"A. Hyatt Mayor Purchase Fund, Marjorie Phelps Starr Bequest",Drawings and Prints
"Gift of the artist and his daughter, Regina Valdés",Modern and Contemporary Art
Harris Brisbane Dick Fund,Drawings and Prints
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Purchase,European Sculpture and Decorative Arts
"Purchase, Paul Singer Gift and Rogers Fund",Asian Art
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
The Crosby Brown Collection of Musical Instruments,Musical Instruments
Funds from various donors,Greek and Roman Art
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Gift of Mrs. Edwin De T. Bechtel,Drawings and Prints
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Gift of Dr. Joseph I. Singer,Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Gift of Frederick W. Hunter,The American Wing
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Rogers Fund,Egyptian Art
Harris Brisbane Dick Fund,Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund and Harris Brisbane Dick Fund, by Exchange",Drawings and Prints
Rogers Fund,Egyptian Art
Gift of Irene Averbrook Weissman,Costume Institute
"Gift of Martin Birnbaum, in memory of Mrs. Leonard Weber",Drawings and Prints
Gift of Jean Charlot,Drawings and Prints
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
"The Michael C. Rockefeller Memorial Collection, Purchase, Mrs. Gertrud A. Mellon Gift, and Mr. and Mrs. Alan Brandt Gift, in memory of Jacob J. Brandt","Arts of Africa, Oceania, and the Americas"
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum",Costume Institute
Gift of Mrs. Stanley Mortimer,Costume Institute
Gift of Alexander Götz,Asian Art
"Purchase, Rogers Fund, Isabel Shults Fund and Irene Lewisohn Bequest",Costume Institute
Harris Brisbane Dick Fund,Drawings and Prints
Gift of Richard Martin,Costume Institute
Harris Brisbane Dick Fund,Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Alfred Stieglitz Collection,Photographs
Gift of Gary Davis,Photographs
"The Cesnola Collection, Purchased by subscription",Greek and Roman Art
Walker Evans Archive,Photographs
"The Friedsam Collection, Bequest of Michael Friedsam",Islamic Art
Gift of  Dana Broccoli,Drawings and Prints
Rogers Fund,Drawings and Prints
Walker Evans Archive,Photographs
Harris Brisbane Dick Fund,Drawings and Prints
