Id,start,end,type,departement
689972,1963,1963,Object,Drawings and Prints
376467,2007,2007,Object,Drawings and Prints
322582,1930,1930,Object,Ancient Near Eastern Art
200728,1950,1950,Object,European Sculpture and Decorative Arts
411545,1963,1963,Object,Drawings and Prints
73665,2007,2007,Object,Asian Art
397412,1986,1986,Object,Drawings and Prints
353530,1968,1968,Object,Drawings and Prints
552726,1910,1910,Object,Egyptian Art
375297,1962,1962,Object,Drawings and Prints
423542,1963,1963,Object,Drawings and Prints
778634,2016,2016,Object,Drawings and Prints
342797,1949,1949,Object,Drawings and Prints
379169,1923,1923,Object,Drawings and Prints
698523,2015,2015,Object,European Sculpture and Decorative Arts
114249,1968,1968,Object,Costume Institute
385595,1966,1966,Object,Drawings and Prints
49605,1986,1986,Object,Asian Art
733543,2011,2011,Object,Greek and Roman Art
702303,1963,1963,Object,Drawings and Prints
265374,1987,1987,Object,Photographs
247479,1906,1906,Object,Greek and Roman Art
7323,1906,1906,Object,The American Wing
653287,1963,1963,Object,Drawings and Prints
474369,2002,2002,Object,Medieval Art
563164,1917,1917,Object,Egyptian Art
138570,2007,2007,Object,Costume Institute
424919,1924,1924,Object,Drawings and Prints
83038,2001,2001,Object,Costume Institute
278149,1994,1994,Object,Photographs
53422,2015,2015,Object,Asian Art
252955,1928,1928,Object,Greek and Roman Art
226500,1940,1940,Object,European Sculpture and Decorative Arts
786441,1963,1963,Object,Drawings and Prints
357180,1962,1962,Object,Drawings and Prints
66797,1896,1896,Object,Asian Art
898995,1935,1935,Object,Drawings and Prints
684211,1923,1923,Object,Drawings and Prints
811147,1959,1959,Object,Drawings and Prints
207756,1988,1988,Object,European Sculpture and Decorative Arts
11136,1906,1906,Object,The American Wing
277924,1994,1994,Object,Photographs
97156,1974,1974,Object,Costume Institute
51407,1913,1913,Object,Asian Art
341358,1966,1966,Object,Drawings and Prints
253440,1934,1934,Object,Greek and Roman Art
474703,1912,1912,Object,Medieval Art
117464,1975,1975,Object,Costume Institute
229883,1985,1985,Object,European Sculpture and Decorative Arts
205767,1974,1974,Object,European Sculpture and Decorative Arts
272528,1994,1994,Object,Photographs
285750,2005,2005,Object,Photographs
560807,1911,1911,Object,Egyptian Art
200484,1948,1948,Object,European Sculpture and Decorative Arts
48946,2001,2001,Object,Asian Art
226972,1943,1943,Object,European Sculpture and Decorative Arts
681654,1952,1952,Object,Drawings and Prints
41135,1902,1902,Object,Asian Art
