Source,Target
123753,1908
Gift of J. Pierpont Morgan,315292
315292,1917
Harris Brisbane Dick Fund,438902
438902,1947
Rogers Fund,433893
433893,1948
Gift of Barnard College,337903
337903,1992
Gift of Norbert Schimmel Trust,154910
154910,1989
John B. Turner Fund,391510
391510,1998
Rogers Fund,300222
300222,1908
"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer",45257
45257,1929
The Jack and Belle Linsky Collection,296117
296117,1982
Gift of J. R. Watkins,239335
239335,1942
Gift of Mrs. Alan Crane,292981
292981,1973
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum; Gift of Mrs. Robert G. Olmsted",89201
89201,2009
Harris Brisbane Dick Fund,376182
376182,1948
Gift of Cynthia Hazen Polsky,31747
31747,1986
"Ford Motor Company Collection, Gift of Ford Motor Company and John C. Waddell",161390
161390,1987
Gift of Mrs. Horace Havemeyer,59973
59973,1942
"Theodore M. Davis Collection, Bequest of Theodore M. Davis",355189
355189,1915
Gift of J. Pierpont Morgan,101191
101191,1906
Gift of Dr. Ernest Harms,240161
240161,1955
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",428417
428417,2011
The Elisha Whittelsey Fund,386171
Gift of Martin Eidelberg,467451
467451,2020
Karen B. Cohen Fund,251244
251244,2008
Gift of William Brewster,247748
247748,1923
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",215353
215353,1959
Harris Brisbane Dick Fund,442554
442554,1931
Gift of The United Piece Dye Works,131427
131427,1936
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",269833
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum; Gift of Mrs. Edward S. Harkness in memory of her mother, Elizabeth Greenman Stillman",91193
91193,2009
Gift of Jacqueline Loewe Fowler,442186
442186,2020
Gift of Henry Walters,211533
211533,1917
"The Cesnola Collection, Purchased by subscriptionâ?6",142331
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",216342
216342,1962
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",424730
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",211737
211737,1949
Gift of Cyrus W. Field,16070
16070,1892
Bequest of Lester Wolfe,201293
201293,1983
Gift of Mr. and Mrs. Janos Scholz,216593
216593,1952
Bequest of Flora E. Whiting,1731
1731,1971
"Robert O. Dougan Collection, Gift of Warner Communications Inc.",159459
159459,1981
"Purchase, Roland L. Redmond Gift, Louis V. Bell and Rogers Funds",237150
237150,1972
Gift of Lester Wunderman,187363
187363,1977
Jacques and Natasha Gelman Collection,331131
331131,1998
Gift of Armand J. Fred Ferretti and Eileen Yin-Fei Lo,226996
226996,2002
"Purchase, Friends of Asian Art Gifts, in honor of James C. Y. Watt",64882
64882,2011
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",269386
Bequest of William Christian Paul,59427
59427,1929
Gift of Joseph H. Durkee,146223
146223,1899
"Purchase, Sidney E. Cohn and Lillian L. Poses Gifts",326838
326838,1988
Bequest of Mrs. Maria P. James,102822
102822,1911
Bequest of Adrienne Minassian,308237
308237,1994
Gift of Heber R. Bishop,48525
48525,1902
Gift of Lincoln Kirstein,64733
64733,1959
Gift of Matthew Dontzin,160795
160795,1985
Rogers Fund,304944
304944,1940
